T1	PERSON 16 19	費鴻泰
T2	LEGALCASES 31 35	本件解釋
T3	PERSON 39 42	謝衣鳳
T4	PERSON 43 46	林文瑞
T5	PERSON 47 50	翁重鈞
T6	DATE 61 74	中華民國109年7月22日
T7	LAW 79 87	農田水利法第1條
T8	LAW 192 194	本法
T9	LAW 199 204	系爭規定一
T10	LAW 206 213	第18條第1項
T11	LAW 376 381	系爭規定二
T12	LAW 383 388	同條第3項
T13	LAW 392 395	第1項
T14	LAW 435 440	系爭規定三
T15	LAW 442 449	第19條第3項
T16	LAW 523 528	系爭規定四
T17	LAW 530 537	第23條第1項
T18	LAW 566 571	前條第1項
T19	LAW 593 598	系爭規定五
T20	LAW 600 605	同條第5項
T21	LAW 692 697	系爭規定六
T22	LAW 699 706	第34條第2項
T23	DATE 711 717	本法施行之日
T24	LAW 719 728	農田水利會組織通則
T25	LAW 737 742	系爭規定七
T26	PRINCIPLE 831 837	法律保留原則
T27	PRINCIPLE 838 844	權力分立原則
T28	PRINCIPLE 845 854	法律不溯及既往原則
T29	PRINCIPLE 855 861	信賴保護原則
T30	PRINCIPLE 862 866	比例原則
T31	LAW 875 877	憲法
T32	RIGHT 880 883	結社權
T33	RIGHT 884 887	財產權
T34	LAW 894 896	憲法
T35	COUNTRY 917 919	臺灣
T36	DURATION 945 948	四百年
T37	DURATION 971 974	一百年
T38	LAW 1069 1076	系爭規定一及五
T39	LAW 1114 1123	農田水利會組織通則
T40	LAW 1140 1147	水利法第12條
T41	LAW 1157 1162	人民團體法
T42	LAW 1174 1181	系爭規定一及五
T43	PRINCIPLE 1196 1203	法律明確性原則
T44	PRINCIPLE 1204 1212	組織法律保留原則
T45	PRINCIPLE 1213 1219	權力分立原則
T46	PRINCIPLE 1220 1226	法律保留原則
T47	LAW 1241 1246	系爭規定七
T48	LAW 1248 1257	農田水利會組織通則
T49	PRINCIPLE 1287 1296	法律不溯及既往原則
T50	PRINCIPLE 1297 1303	信賴保護原則
T51	PRINCIPLE 1304 1310	法律保留原則
T52	LAW 1340 1346	憲法第14條
T53	RIGHT 1349 1352	結社權
T54	LAW 1381 1388	系爭規定五及六
T55	PRINCIPLE 1432 1438	法律保留原則
T56	LAW 1443 1445	憲法
T57	RIGHT 1448 1451	財產權
T58	RIGHT 1457 1462	農業用水權
T59	RIGHT 1467 1470	所有權
T60	RIGHT 1471 1478	灌溉管理經營權
T61	LAW 1488 1493	系爭規定二
T62	RIGHT 1519 1521	水權
T63	RIGHT 1526 1529	所有權
T64	RIGHT 1530 1537	灌溉管理經營權
T65	PRINCIPLE 1540 1544	比例原則
T66	LAW 1549 1551	憲法
T67	RIGHT 1554 1557	財產權
T68	LAW 1563 1568	系爭規定三
T69	LAW 1582 1587	系爭規定四
T70	REGULATION 1589 1607	農田水利事業人員甄試進用人事管理辦法
T71	PRINCIPLE 1627 1635	組織法律保留原則
T72	LAW 1636 1647	中央行政機關組織基準法
T73	LAW 1650 1655	組織基準法
T74	LAW 1656 1662	第5條第3項
T75	LAW 1663 1679	憲法增修條文第3條第3項及第4項
T76	LAW 1688 1693	農田水利法
T77	ADMINISTRATIVEACTION 1814 1818	暫時處分
T78	LAW 1837 1842	憲法訴訟法
T79	LAW 1860 1862	同法
T80	LAW 1894 1905	司法院大法官審理案件法
T81	LAW 1908 1911	大審法
T82	LAW 1917 1926	同法第90條第1項
T83	LAW 1933 1945	大審法第5條第1項第3款
T84	LAW 1971 1973	憲法
T85	LAW 1988 1990	憲法
T86	LAW 2000 2002	憲法
T87	LAW 2009 2014	農田水利法
T88	LEGALREFERENCE 2037 2067	立法院公報第109卷第52期院會紀錄,第296頁至第297頁
T89	LAW 2088 2093	農田水利法
T90	LAW 2120 2127	系爭規定一至七
T91	LAW 2143 2155	大審法第5條第1項第3款
T92	DATE 2197 2206	111年5月24日
T93	LAW 2330 2333	水利法
T94	LAW 2334 2343	農田水利會組織通則
T95	LAW 2395 2400	農田水利法
T96	LAW 2476 2481	系爭規定一
T97	LAW 2520 2522	憲法
T98	RIGHT 2522 2525	基本權
T99	LAW 2529 2536	系爭規定一及五
T100	PRINCIPLE 2560 2567	法律明確性原則
T101	LAW 2604 2609	農田水利法
T102	PRINCIPLE 2647 2653	信賴保護原則
T103	PRINCIPLE 2654 2663	法律不溯及既往原則
T104	RIGHT 2678 2680	水權
T105	RIGHT 2681 2688	灌溉管理經營權
T106	LAW 2692 2701	農田水利會組織通則
T107	LAW 2725 2732	系爭規定五及六
T108	PRINCIPLE 2759 2763	比例原則
T109	LAW 2766 2772	憲法第15條
T110	RIGHT 2776 2779	財產權
T111	LAW 2803 2811	農田水利署組織法
T112	LAW 2813 2825	組織基準法第4條及第6條
T113	LAW 2835 2842	系爭規定三及四
T114	PRINCIPLE 2853 2861	組織法律保留原則
T115	LAW 2862 2878	憲法增修條文第3條第3項及第4項
T116	LAW 2911 2916	農田水利法
T117	LAW 2955 2968	憲法第107條至第110條
T118	RIGHT 2972 2977	地方自治權
