T1	LAW 31 43	民法第195條第1項後段
T2	LAW 79 83	系爭規定
T3	RIGHT 116 121	不表意自由
T4	RIGHT 122 125	人格權
T5	RIGHT 126 130	良心自由
T6	RIGHT 131 135	思想自由
T7	RIGHT 136 140	人性尊嚴
T8	RIGHT 141 145	新聞自由
T9	LAW 150 161	憲法第11條及第23條
T10	COURT 168 171	司法院
T11	LEGALCASES 171 180	釋字第656號解釋
T12	LEGALCASES 183 187	系爭解釋
T13	DATE 225 238	中華民國104年8月12日
T14	LAW 251 271	司法院大法官審理案件法第5條第1項第2款
T15	LAW 278 292	憲法訴訟法第90條第1項但書
T16	DATE 302 311	108年10月9日
T17	DATE 318 327	109年3月24日
T18	LAW 342 344	民法
T19	LAW 442 446	系爭規定
T20	LAW 448 450	憲法
T21	DATE 462 471	109年8月12日
T22	DATE 484 493	110年6月30日
T23	DATE 506 516	110年12月30日
T24	LEGALCASES 574 577	本判決
T25	LAW 616 618	憲法
T26	RIGHT 620 624	言論自由
T27	LAW 632 638	憲法第11條
T28	RIGHT 648 650	自由
T29	RIGHT 658 662	言論自由
T30	COURT 687 690	司法院
T31	LEGALCASES 690 699	釋字第577號解釋
T32	RIGHT 748 752	言論自由
T33	RIGHT 759 764	不表意自由
T34	RIGHT 869 873	人性尊嚴
T35	LEGALCASES 878 882	系爭解釋
T36	LAW 889 899	民法第195條第1項
T37	RIGHT 910 912	身體
T38	RIGHT 913 915	健康
T39	RIGHT 916 918	名譽
T40	RIGHT 919 921	自由
T41	RIGHT 925 927	隱私
T42	RIGHT 1002 1004	名譽
T43	LAW 1025 1029	後段規定
T44	LAW 1031 1035	系爭規定
T45	LEGALCASES 1155 1159	系爭解釋
T46	RIGHT 1206 1210	人性尊嚴
T47	LEGALCASES 1225 1229	系爭解釋
T48	RIGHT 1231 1235	基本權利
T49	RIGHT 1270 1275	不表意自由
T50	LAW 1320 1326	憲法第23條
T51	RIGHT 1329 1333	比例原則
T52	RIGHT 1398 1402	言論自由
T53	LAW 1537 1539	憲法
T54	RIGHT 1539 1543	言論自由
T55	COURT 1549 1552	司法院
