T1	PERSON 8 11	陳世榮
T2	COURT 15 17	本院
T3	LAW 99 104	憲法第七條
T4	PRINCIPLE 107 111	平等原則
T5	COURT 118 122	行政法院
T6	LEGALCASES 122 135	六十二年判字第六一○號判例
T7	COURT 160 162	本院
T8	DATE 173 177	公布當日
T9	LAW 224 242	司法院大法官會議法第四條第一項第二款
T10	PROCEDURE 286 288	再審
T11	COURT 302 306	行政法院
T12	COURT 336 338	本院
T13	LEGALREFERENCE 338 350	釋字第一八五號解釋文前段
T14	COURT 407 409	本院
T15	LEGALREFERENCE 409 421	釋字第一八八號解釋文後段
T16	COURT 457 459	本院
T17	PROCEDURE 479 481	再審
T18	PROCEDURE 482 486	非常上訴
T19	COURT 506 509	司法院
T20	LAW 511 513	憲法
T21	LAW 529 536	憲法第七十八條
T22	LAW 556 558	憲法
T23	PROCEDURE 582 584	訴訟
T24	LAW 608 610	憲法
T25	LAW 625 643	司法院大法官會議法第四條第一項第二款
T26	LAW 662 664	憲法
T27	LAW 689 703	同法同條項第一款、同法第七條
T28	COURT 705 707	本院
T29	COURT 764 766	本院
T30	COURT 835 837	本院
T31	PROCEDURE 865 867	再審
T32	COURT 881 883	本院
T33	COURT 912 914	本院
T34	LAW 917 919	憲法
T35	COURT 948 950	本院
T36	COURT 1031 1033	本院
T37	LAW 1109 1127	司法院大法官會議法第四條第一項第二款
T38	LAW 1136 1138	憲法
T39	LAW 1152 1154	憲法
T40	PROCEDURE 1180 1182	訴訟
T41	LAW 1209 1211	憲法
T42	LAW 1234 1236	憲法
T43	COURT 1255 1257	本院
T44	LEGALREFERENCE 1257 1269	釋字第一八三號解釋理由書
T45	LAW 1279 1281	憲法
T46	COURT 1299 1301	本院
T47	PROCEDURE 1384 1386	再審
T48	PROCEDURE 1387 1391	非常上訴
T49	COURT 1460 1462	本院
T50	COURT 1500 1502	本院
T51	LAW 1523 1530	憲法第七十八條
T52	COURT 1532 1534	本院
T53	LAW 1539 1541	憲法
T54	COURT 1557 1559	本院
T55	COURT 1593 1595	本院
T56	PRINCIPLE 1625 1632	法安定性之原則
T57	COURT 1638 1640	本院
T58	COURT 1710 1712	本院
T59	LEGALREFERENCE 1712 1725	釋字第一七七號解釋文第一段
T60	COURT 1728 1732	最高法院
