T1	LEGALCASES 0 9	釋字第七0九號解釋
T2	PERSON 17 20	林錫堯
T3	LEGALREFERENCE 24 27	解釋文
T4	LEGALREFERENCE 30 33	理由書
T5	LEGALREFERENCE 50 53	理由書
T6	LAW 73 75	憲法
T7	PRINCIPLE 78 84	正當行政程序
T8	LAW 135 155	司法院大法官審理案件法第5條第1項第2款
T9	LAW 222 228	都市更新條例
T10	PRINCIPLE 263 269	正當行政程序
T11	LAW 270 272	憲法
T12	LEGALCASES 275 278	本解釋
T13	LAW 280 284	系爭規定
T14	LAW 286 299	都市更新條例第10條第1項
T15	LAW 300 316	舊都市更新條例第19條第3項前段
T16	LAW 320 322	憲法
T17	PRINCIPLE 326 332	正當行政程序
T18	LAW 336 338	憲法
T19	RIGHT 342 345	財產權
T20	RIGHT 346 350	居住自由
T21	LAW 355 359	系爭規定
T22	LEGALREFERENCE 371 374	理由書
T23	LAW 377 379	憲法
T24	PRINCIPLE 380 388	正當法律程序原則
T25	RIGHT 396 399	基本權
T26	COURT 471 473	本院
T27	LEGALCASES 473 482	釋字第六八九號解釋
T28	LAW 497 499	憲法
T29	PRINCIPLE 502 508	正當行政程序
T30	LAW 513 515	憲法
T31	PRINCIPLE 516 524	正當法律程序原則
T32	RIGHT 534 537	基本權
T33	LAW 552 554	憲法
T34	PRINCIPLE 555 563	正當法律程序原則
T35	LAW 570 572	憲法
T36	PRINCIPLE 573 581	正當法律程序原則
T37	PRINCIPLE 590 596	正當行政程序
T38	LAW 636 638	憲法
T39	PRINCIPLE 641 647	正當行政程序
T40	RIGHT 684 687	基本權
T41	LAW 722 724	憲法
T42	PRINCIPLE 727 733	正當行政程序
T43	LEGALCASES 745 749	本件解釋
T44	LAW 822 824	憲法
T45	PRINCIPLE 827 833	正當行政程序
T46	LAW 843 845	憲法
T47	PRINCIPLE 848 854	正當行政程序
T48	LAW 868 870	憲法
T49	PRINCIPLE 873 879	正當行政程序
T50	RIGHT 891 894	基本權
T51	LAW 914 916	憲法
T52	PRINCIPLE 919 925	正當行政程序
T53	LAW 931 933	憲法
T54	RIGHT 937 940	財產權
T55	RIGHT 941 945	居住自由
T56	RIGHT 962 965	財產權
T57	RIGHT 966 970	居住自由
T58	PRINCIPLE 988 992	比例原則
T59	LAW 1065 1068	該法律
T60	PRINCIPLE 1088 1092	比例原則
T61	RIGHT 1142 1145	財產權
T62	RIGHT 1146 1150	居住自由
T63	PRINCIPLE 1151 1157	正當行政程序
T64	LAW 1183 1185	憲法
T65	RIGHT 1189 1192	財產權
T66	RIGHT 1193 1197	居住自由
T67	LAW 1210 1212	憲法
T68	PRINCIPLE 1222 1228	正當行政程序
T69	LAW 1235 1237	憲法
T70	PRINCIPLE 1240 1246	正當行政程序
T71	RIGHT 1260 1263	基本權
T72	LAW 1270 1272	憲法
T73	PRINCIPLE 1275 1281	正當行政程序
T74	LAW 1284 1286	憲法
T75	PRINCIPLE 1289 1295	正當行政程序
