T1	LEGALCASES 0 9	釋字第746號解釋
T2	PERSON 14 17	林俊益
T3	LAW 57 66	稅捐稽徵法第20條
T4	LAW 71 76	系爭規定一
T5	LAW 78 93	遺產稅及贈與稅法第51條第1項
T6	LAW 98 103	系爭規定二
T7	PROCEDURE 131 133	復查
T8	PROCEDURE 146 148	訴願
T9	DATE 168 179	中華民國80年4月8日
T10	REGULATION 179 194	台財稅第790445422號函
T11	REGULATION 197 201	系爭函一
T12	DATE 203 211	81年10月9日
T13	REGULATION 211 226	台財稅第811680291號函
T14	REGULATION 229 233	系爭函二
T15	LAW 259 274	遺產稅及贈與稅法第51條第2項
T16	LAW 279 284	系爭規定三
T17	DATE 297 303	滯納期限翌日
T18	LEGALCASES 316 320	本件解釋
T19	LAW 329 336	系爭規定一及二
T20	REGULATION 337 343	系爭函一及二
T21	LAW 348 353	系爭規定三
T22	LEGALCASES 453 457	本件解釋
T23	LAW 519 521	憲法
T24	PRINCIPLE 521 525	比例原則
T25	LAW 632 637	行政執行法
T26	LAW 721 726	行政執行法
T27	DURATION 772 774	2日
T28	DURATION 781 784	30日
T29	DURATION 1262 1265	30日
T30	DURATION 1298 1300	6天
T31	DURATION 1317 1320	36天
T32	LAW 1391 1398	系爭規定一及二
T33	PRINCIPLE 1410 1414	比例原則
T34	LAW 1651 1658	系爭規定一及二
T35	DURATION 1661 1663	2日
T36	DURATION 1668 1671	30日
T37	LAW 1683 1685	稅法
T38	COURT 1692 1694	本院
T39	LAW 1702 1704	憲法
T40	PRINCIPLE 1724 1728	比例原則
T41	LAW 1763 1770	關稅法第77條
T42	LAW 1771 1778	第79條第1項
T43	DURATION 1792 1794	1日
T44	LAW 1807 1814	系爭規定一及二
T45	PRINCIPLE 1862 1866	比例原則
T46	LAW 1870 1878	藥害救濟法第8條
T47	DURATION 1918 1920	2日
T48	LAW 1931 1938	系爭規定一及二
T49	COURT 1961 1963	本院
T50	PRINCIPLE 1966 1970	比例原則
T51	LAW 1981 1983	憲法
T52	COUNTRY 2003 2005	美國
T53	LAW 2080 2097	第6656條第(a)項及第(b)項
T54	COUNTRY 2131 2133	德國
T55	LAW 2133 2142	租稅通則第240條
T56	DATE 2160 2163	第4日
T57	LAW 2193 2200	系爭規定一及二
T58	DURATION 2261 2264	10日
