T1	LEGALCASES 0 9	釋字第783號解釋
T2	PERSON 20 23	黃虹霞
T3	LAW 485 496	司法院大法官審理案件法
T4	PRINCIPLE 695 699	平等原則
T5	LEGALCASES 712 717	年改解釋案
T6	LEGALCASES 844 849	年改解釋案
T7	LEGALCASES 860 864	本件解釋
T8	LAW 932 934	憲法
T9	LAW 940 942	憲法
T10	LAW 958 960	憲法
T11	LEGALCASES 1040 1044	本件解釋
T12	LEGALCASES 1071 1075	本件解釋
T13	DATE 1113 1117	105年
T14	DATE 1130 1134	60年代
T15	DATE 1142 1145	32年
T16	DURATION 1196 1199	20年
T17	DATE 1202 1205	84年
T18	DATE 1262 1266	70年代
T19	DATE 1267 1271	80年代
T20	COURT 1285 1287	本院
T21	LEGALCASES 1287 1296	釋字第717號解釋
T22	DURATION 1414 1417	30年
T23	DURATION 1424 1426	1年
T24	DURATION 1429 1432	15年
T25	DATE 1523 1528	60年代末
T26	DATE 1625 1628	72年
T27	DATE 1666 1669	84年
T28	DURATION 1854 1858	20多年
T29	DATE 1934 1937	95年
T30	DATE 1971 1975	100年
T31	DATE 2023 2030	101年10月
T32	DATE 2072 2078	102年4月
T33	DATE 2366 2369	84年
T34	DATE 2370 2374	105年
T35	PERSON 2386 2387	李
T36	PERSON 2393 2394	陳
T37	PERSON 2398 2399	馬
T38	PERSON 2403 2404	蔡
T39	LAW 2469 2475	憲法第18條
T40	LAW 2476 2489	憲法增修條文第10條第9項
T41	LAW 2506 2513	憲法第165條
T42	LAW 2553 2555	憲法
T43	LAW 2581 2586	憲法第7條
T44	LAW 2832 2834	憲法
T45	COURT 3055 3057	本院
T46	LEGALCASES 3057 3066	釋字第717號解釋
T47	DATE 3113 3117	105年
T48	DATE 3173 3179	60年代初期
T49	DATE 3193 3196	81年
T50	LEGALCASES 3260 3264	本件解釋
T51	LAW 3274 3276	憲法
T52	LAW 3284 3286	憲法
T53	LAW 3393 3397	上開規定
T54	LEGALCASES 3488 3492	本件解釋
T55	DATE 4010 4014	107年
T56	DATE 4015 4019	156年
T57	DURATION 4100 4103	10年
T58	PRINCIPLE 4288 4296	法律不溯既往原則
T59	DURATION 4300 4303	15年
T60	DURATION 4357 4360	40年
T61	PRINCIPLE 4432 4440	法律不溯既往原則
T62	PRINCIPLE 4476 4484	法律不溯既往原則
T63	DURATION 4610 4613	35年
T64	DURATION 4816 4817	5
T65	DURATION 4818 4821	15年
T66	DATE 4901 4904	69年
T67	DURATION 4967 4970	20年
T68	PRINCIPLE 5013 5019	信賴保護原則
T69	PRINCIPLE 5020 5024	比例原則
T70	DURATION 5133 5136	35年
T71	DATE 5157 5161	118年
T72	LAW 5259 5263	系爭規定
T73	PRINCIPLE 5268 5276	法律不溯既往原則
T74	PRINCIPLE 5277 5283	信賴保護原則
T75	PRINCIPLE 5284 5288	比例原則
T76	LEGALCASES 5289 5293	本件解釋
T77	LEGALCASES 5305 5309	本件解釋
T78	DATE 5359 5363	139年
T79	DATE 5373 5377	138年
T80	DATE 5617 5621	138年
T81	PRINCIPLE 5640 5644	比例原則
T82	LEGALCASES 5665 5669	本件解釋
T83	DATE 5750 5754	138年
T84	DATE 5792 5796	139年
T85	DURATION 5854 5857	10年
T86	PRINCIPLE 5891 5895	平等原則
T87	DATE 5911 5915	105年
T88	PRINCIPLE 6031 6035	平等原則
T89	COURT 6223 6225	本院
T90	LEGALCASES 6303 6307	本件解釋
T91	DURATION 6567 6570	35年
T92	DURATION 6580 6583	40年
T93	COURT 6683 6685	本院
T94	LEGALCASES 6788 6792	本件解釋
T95	LEGALCASES 6941 6945	本件解釋
T96	PRINCIPLE 7040 7046	不溯既往原則
T97	COUNTRY 7665 7667	臺灣
T98	COUNTRY 7695 7697	德國
T99	COUNTRY 7702 7704	瑞士
T100	COUNTRY 7709 7711	日本
T101	COUNTRY 7717 7719	臺灣
T102	COUNTRY 7727 7729	臺灣
T103	COUNTRY 7798 7800	臺灣
