T1	PERSON 9 12	林德福
T2	PERSON 13 16	李鴻鈞
T3	PERSON 17 21	高金素梅
T4	LAW 39 54	公立學校教職員退休資遣撫卹條例
T5	LAW 57 61	系爭條例
T6	LEGALCASES 62 65	本解釋
T7	LAW 84 88	系爭條例
T8	LAW 92 154	第4條第4款至第6款、第8條第2項、第19條第2款、第3款、第36條至第38條、第39條第1項、第2項、第77條第1項第3款
T9	PRINCIPLE 276 285	法律不溯及既往原則
T10	PRINCIPLE 286 292	信賴保護原則
T11	PRINCIPLE 293 297	比例原則
T12	LAW 306 308	憲法
T13	RIGHT 311 314	財產權
T14	RIGHT 315 318	生存權
T15	RIGHT 319 323	服公職權
T16	RIGHT 324 327	工作權
T17	RIGHT 328 331	平等權
T18	ADMINISTRATIVEACTION 364 368	暫時處分
T19	LEGALCASES 372 374	本案
T20	LAW 412 416	系爭條例
T21	LAW 431 442	司法院大法官審理案件法
T22	LAW 445 448	大審法
T23	LAW 449 455	第14條前段
T24	REGULATION 457 465	施行細則第15條
T25	LAW 473 475	憲法
T26	COURT 593 595	本院
T27	LEGALCASES 595 604	釋字第601號解釋
T28	LAW 633 635	憲法
T29	LAW 650 652	憲法
T30	LAW 662 664	憲法
T31	LAW 665 677	大審法第5條第1項第3款
T32	COURT 722 724	本院
T33	LAW 728 730	憲法
T34	LAW 748 752	系爭條例
T35	LEGALREFERENCE 788 820	立法院公報第106卷第69期上冊院會紀錄,第334頁至第336頁
T36	LAW 842 846	系爭條例
T37	LAW 869 877	系爭條例上開規定
T38	LAW 886 890	系爭條例
T39	COURT 903 905	本院
T40	LAW 912 924	大審法第5條第1項第3款
T41	LAW 939 952	系爭條例第67條第1項前段
T42	LAW 1072 1085	系爭條例第36條至第39條
T43	LAW 1098 1101	第5條
T44	LAW 1129 1144	第37條第5項、第38條第5項
T45	LAW 1150 1163	系爭條例第36條至第39條
T46	COURT 1183 1185	本院
T47	LAW 1186 1196	大審法第13條第1項
T48	DATE 1232 1245	中華民國108年5月15日
T49	LEGALCASES 1249 1251	本案
T50	DATE 1267 1276	108年6月25日
T51	LAW 1289 1293	系爭條例
T52	LAW 1309 1316	憲法第165條
T53	RIGHT 1414 1417	財產權
T54	ADMINISTRATIVEACTION 1431 1435	行政處分
T55	LAW 1520 1526	憲法第23條
T56	LAW 1538 1586	系爭條例第4條第4款、第5款、第19條第2款、第3款、第36條至第38條、第39條第1項、第2項
T57	RIGHT 1642 1645	請求權
T58	LAW 1648 1650	憲法
T59	RIGHT 1652 1656	服公職權
T60	RIGHT 1657 1660	工作權
T61	RIGHT 1661 1664	財產權
T62	LAW 1672 1676	系爭條例
T63	PRINCIPLE 1692 1701	法律不溯及既往原則
T64	PRINCIPLE 1712 1718	信賴保護原則
T65	COURT 1719 1722	司法院
T66	LEGALCASES 1722 1731	釋字第717號解釋
T67	LAW 1741 1751	系爭條例第4條第6款
T68	LAW 1760 1767	第39條第2項
T69	LAW 1779 1783	第37條
T70	LAW 1784 1788	第38條
T71	LAW 1880 1882	憲法
T72	RIGHT 1884 1888	服公職權
T73	RIGHT 1889 1892	生存權
T74	LAW 1898 1906	系爭條例第36條
T75	DATE 1926 1934	107年7月1日
T76	DATE 1935 1945	109年12月31日
T77	DATE 1957 1965	110年1月1日
T78	DURATION 1978 1981	2年半
T79	LAW 1982 1986	第37條
T80	DATE 1997 2005	107年7月1日
T81	DATE 2007 2017	108年12月31日
T82	DATE 2030 2038	109年1月1日
T83	DURATION 2041 2044	10年
T84	PRINCIPLE 2097 2103	信賴保護原則
T85	PRINCIPLE 2104 2108	比例原則
T86	LAW 2111 2122	系爭條例第39條第1項
T87	LAW 2151 2155	系爭條例
T88	PRINCIPLE 2203 2209	信賴保護原則
T89	PRINCIPLE 2210 2214	比例原則
T90	LAW 2217 2227	系爭條例第8條第2項
